Record Length,Analog:14000
Sample Interval,CH:0.0000099999997
Vertical Units,CH1:V,,,
Vertical Scale,CH1:+2.240000E-01,,,
Vertical Offset,CH1:+0.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,10000.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMEBX3R1990,,,
Software Version,8.1.6.1.33,,,
Source,CH1
Second,Volt
+1.660000E-03,-3.584000E-02
+1.670000E-03,-3.584000E-02
+1.680000E-03,-1.792000E-02
+1.690000E-03,-3.584000E-02
+1.700000E-03,-4.480000E-02
+1.710000E-03,-4.480000E-02
+1.720000E-03,-4.480000E-02
+1.730000E-03,-4.480000E-02
+1.740000E-03,-4.480000E-02
+1.750000E-03,-4.480000E-02
+1.760000E-03,-4.480000E-02
+1.770000E-03,-4.480000E-02
+1.780000E-03,-4.480000E-02
+1.790000E-03,-3.584000E-02
+1.800000E-03,-3.584000E-02
+1.810000E-03,-3.584000E-02
+1.820000E-03,-4.480000E-02
+1.830000E-03,-4.480000E-02
+1.840000E-03,-3.584000E-02
+1.850000E-03,-4.480000E-02
+1.860000E-03,-3.584000E-02
+1.870000E-03,-4.480000E-02
+1.880000E-03,-4.480000E-02
+1.890000E-03,-4.480000E-02
+1.900000E-03,-4.480000E-02
+1.910000E-03,-4.480000E-02
+1.920000E-03,-4.480000E-02
+1.930000E-03,-4.480000E-02
+1.940000E-03,-4.480000E-02
+1.950000E-03,-4.480000E-02
+1.960000E-03,-5.376000E-02
+1.970000E-03,-4.480000E-02
+1.980000E-03,-4.480000E-02
+1.990000E-03,-4.480000E-02
+2.000000E-03,-4.480000E-02
+2.010000E-03,-4.480000E-02
+2.020000E-03,-4.480000E-02
+2.030000E-03,-3.584000E-02
+2.040000E-03,-4.480000E-02
+2.050000E-03,-3.584000E-02
+2.060000E-03,-3.584000E-02
+2.070000E-03,-3.584000E-02
+2.080000E-03,-2.688000E-02
+2.090000E-03,-3.584000E-02
+2.100000E-03,-2.688000E-02
+2.110000E-03,-3.584000E-02
+2.120000E-03,-4.480000E-02
+2.130000E-03,-4.480000E-02
+2.140000E-03,-4.480000E-02
+2.150000E-03,-4.480000E-02
+2.160000E-03,-4.480000E-02
+2.170000E-03,-4.480000E-02
+2.180000E-03,-3.584000E-02
+2.190000E-03,-4.480000E-02
+2.200000E-03,-3.584000E-02
+2.210000E-03,-4.480000E-02
+2.220000E-03,-3.584000E-02
+2.230000E-03,-3.584000E-02
+2.240000E-03,-3.584000E-02
+2.250000E-03,-3.584000E-02
+2.260000E-03,-3.584000E-02
+2.270000E-03,-3.584000E-02
+2.280000E-03,-2.688000E-02
+2.290000E-03,-3.584000E-02
+2.300000E-03,-4.480000E-02
+2.310000E-03,-3.584000E-02
+2.320000E-03,-3.584000E-02
+2.330000E-03,-3.584000E-02
+2.340000E-03,-3.584000E-02
+2.350000E-03,-3.584000E-02
+2.360000E-03,-3.584000E-02
+2.370000E-03,-4.480000E-02
+2.380000E-03,-4.480000E-02
+2.390000E-03,-3.584000E-02
+2.400000E-03,-4.480000E-02
+2.410000E-03,-4.480000E-02
+2.420000E-03,-3.584000E-02
+2.430000E-03,-3.584000E-02
+2.440000E-03,-3.584000E-02
+2.450000E-03,-3.584000E-02
+2.460000E-03,-4.480000E-02
+2.470000E-03,-4.480000E-02
+2.480000E-03,-3.584000E-02
+2.490000E-03,-4.480000E-02
+2.500000E-03,-4.480000E-02
+2.510000E-03,-3.584000E-02
+2.520000E-03,-4.480000E-02
+2.530000E-03,-3.584000E-02
+2.540000E-03,-4.480000E-02
+2.550000E-03,-4.480000E-02
+2.560000E-03,-4.480000E-02
+2.570000E-03,-4.480000E-02
+2.580000E-03,-4.480000E-02
+2.590000E-03,-4.480000E-02
+2.600000E-03,-4.480000E-02
+2.610000E-03,-4.480000E-02
+2.620000E-03,-4.480000E-02
+2.630000E-03,-3.584000E-02
+2.640000E-03,-2.688000E-02
+2.650000E-03,-4.480000E-02
+2.660000E-03,-5.376000E-02
+2.670000E-03,-3.584000E-02
+2.680000E-03,-2.688000E-02
+2.690000E-03,-4.480000E-02
+2.700000E-03,-4.480000E-02
+2.710000E-03,-4.480000E-02
+2.720000E-03,-3.584000E-02
+2.730000E-03,-4.480000E-02
+2.740000E-03,-4.480000E-02
+2.750000E-03,-4.480000E-02
+2.760000E-03,-5.376000E-02
+2.770000E-03,-3.584000E-02
+2.780000E-03,-3.584000E-02
+2.790000E-03,-4.480000E-02
+2.800000E-03,-4.480000E-02
+2.810000E-03,-4.480000E-02
+2.820000E-03,-4.480000E-02
+2.830000E-03,-3.584000E-02
+2.840000E-03,-4.480000E-02
+2.850000E-03,-3.584000E-02
+2.860000E-03,-4.480000E-02
+2.870000E-03,-4.480000E-02
+2.880000E-03,-3.584000E-02
+2.890000E-03,-4.480000E-02
+2.900000E-03,-2.688000E-02
+2.910000E-03,-3.584000E-02
+2.920000E-03,-3.584000E-02
+2.930000E-03,-3.584000E-02
+2.940000E-03,-3.584000E-02
+2.950000E-03,-3.584000E-02
+2.960000E-03,-4.480000E-02
+2.970000E-03,-4.480000E-02
+2.980000E-03,-4.480000E-02
+2.990000E-03,-4.480000E-02
+3.000000E-03,-4.480000E-02
+3.010000E-03,-3.584000E-02
+3.020000E-03,-3.584000E-02
+3.030000E-03,-4.480000E-02
+3.040000E-03,-3.584000E-02
+3.050000E-03,-3.584000E-02
+3.060000E-03,-3.584000E-02
+3.070000E-03,-3.584000E-02
+3.080000E-03,-3.584000E-02
+3.090000E-03,-2.688000E-02
+3.100000E-03,-3.584000E-02
+3.110000E-03,-3.584000E-02
+3.120000E-03,-3.584000E-02
+3.130000E-03,-3.584000E-02
+3.140000E-03,-3.584000E-02
+3.150000E-03,-3.584000E-02
+3.160000E-03,-3.584000E-02
+3.170000E-03,-3.584000E-02
+3.180000E-03,-3.584000E-02
+3.190000E-03,-3.584000E-02
+3.200000E-03,-3.584000E-02
+3.210000E-03,-3.584000E-02
+3.220000E-03,-3.584000E-02
+3.230000E-03,-3.584000E-02
+3.240000E-03,-3.584000E-02
+3.250000E-03,-3.584000E-02
+3.260000E-03,-3.584000E-02
+3.270000E-03,-3.584000E-02
+3.280000E-03,-3.584000E-02
+3.290000E-03,-2.688000E-02
